GeneID	22_NIBD_NI	23_NIBD_NI	25_NIBD_NI	27_NIBD_NI	30_NIBD_NI	31_NIBD_NI	32_NIBD_NI	36_NIBD_NI	39_NIBD_NI	42_NIBD_NI	43_NIBD_NI	48_NIBD_NI	49_NIBD_NI	50_NIBD_NI	20_CD_NI_B2	21_CD_NI_B2	29_CD_NI_B3	405_CD_NI_B1	407_CD_NI_B3	408_CD_NI_B1	413_CD_NI_B1	420_CD_NI_B2	422_CD_NI_B2	424_CD_NI_B3	429_CD_NI_B1	431_CD_NI_B1	433_CD_NI_B1	434_CD_NI_B3	440_CD_NI_B2	450_CD_NI_B3	51_CD_NI_B2	54_CD_NI_B1	62_CD_NI_B3	63_CD_NI_B1	64_CD_NI_B3	407_CD_IF_B3	408_CD_IF_B1	413_CD_IF_B1	431_CD_IF_B1	434_CD_IF_B3	440_CD_IF_B2
hsa-mir-181a-2-5p	19421.51	16407.46	8748.43	5236.15	8180.82	10933.25	11031.27	8876.93	13106.32	10446.93	12265.81	9078.75	5464.14	11087.52	19503.96	17471.95	17641.14	15710.91	13385.93	4253.25	7564.39	16040.86	17999.72	17690.43	12777.74	16387.2	5530.86	4457.29	13175.48	11125.59	8521.39	7841.88	8510.37	5444.45	11187.92	13987.66	5338.56	28079.8	25565.2	14815.42	10145.04
hsa-mir-181a-1-5p	19422.44	16410.02	8749.42	5236.42	8181.79	10935.06	11032.12	8877.5	13106.65	10447.92	12267.03	9079.93	5464.41	11088.11	19505.29	17472.89	17642.06	15711.98	13386.39	4252.32	7564.92	16041.13	18000.49	17691.31	12778.64	16388.71	5531.4	4458.12	13174.65	11126.7	8521.67	7842.65	8511.6	5444.71	11189.16	13988.6	5339.53	28080.78	25566.3	14817.11	10146.15
hsa-mir-193b-3p	384.76	253.89	185.25	312.08	335.08	232.26	342	291.45	354.68	281.6	254.61	399.47	197.38	241.68	151.92	167.56	223.38	258.92	610.02	151.73	78.13	410.17	141.79	237.91	496.73	363.2	181.91	69.58	220.64	150.22	335.23	245.44	416.24	239.15	279.31	280.72	204.71	358.84	651.27	358.83	338.9
hsa-mir-194-2-3p	264.24	115.96	98.94	95.5	131.28	241.47	170.54	107.68	137.54	64.49	89.21	103.87	78.55	98.54	126.91	190.47	205.19	159.96	24.19	178.64	58.43	100.69	229.47	86.01	64.7	80.78	20.27	43.71	259.07	55.81	119.01	44.77	75.88	100.35	97.24	9.11	0	205.92	28.91	71.5	279.61
hsa-mir-451a	59.44	153.55	61.67	68.42	42.93	50.59	202.69	86.45	20.28	88.52	282.74	25.99	81.58	79.14	114.99	55.6	98.55	223.85	2533.62	11.14	39.49	24.63	29.14	222.32	59.93	43.9	98.62	31.12	15.09	84.83	18.32	148.89	176.21	320.85	38.56	266.71	334.2	105.51	209.47	770.23	158.61
hsa-mir-199a-2-3p	152.67	544.85	179.33	274.11	237.6	258.95	720.18	421.37	650.45	276.21	713.3	252.43	362.29	749.28	341.43	486.9	420.68	356.13	1309.61	25.02	42.44	363.29	177.67	491.67	709.22	179.99	57.39	9.82	66.69	146.34	349.7	593.59	399.26	345.25	306.99	145.88	100.03	266.77	429.83	218.32	120.93
hsa-mir-19b-2-3p	0	7.43	1.62	2.31	2.37	4.04	6.06	1.37	3.24	2.22	9.08	2.45	2.68	6.42	4.73	5.84	4.21	3.61	137.24	0	0	2.49	1.53	4.74	4.77	2.63	1.63	0.82	0	6.16	2.48	6.57	6.17	7.14	2.77	2.08	0.38	0	5.3	2.16	3.52
hsa-mir-126-5p	30.65	160.17	43.42	67.56	65.75	49.84	156.96	55.28	46.55	40.37	264.58	24.8	71.7	190.42	110.52	202.87	157.59	187.41	790.38	12.06	8.69	37.08	12.37	161.05	34.59	23	36.85	6	44.73	284.29	23.07	208.17	106.85	186.07	67.41	101.35	33.84	69.29	167.55	81.34	68.56
hsa-mir-19b-1-3p	0	7.11	1.72	2.27	2.37	4.04	5.83	1.37	3.24	2.22	8.89	2.45	2.63	6.28	4.39	5.75	4.12	3.43	135.49	0	0	2.36	1.53	4.74	4.77	2.48	1.63	0.82	0	6.16	2.41	6.37	5.91	6.64	2.77	1.96	0.38	0	5.18	2.16	3.52
hsa-mir-3615	66.41	44.09	37.3	30.33	17.65	61.85	67.86	44.43	44.22	50.15	77.52	52.2	14.91	60.75	61.68	47.59	65.79	55.61	67.88	78.88	22.48	143.87	100.66	81.85	68.87	64.34	9.65	17.62	33.76	32.22	39.19	29.93	60.25	42.07	28.6	26.24	33.87	64.18	150.35	70.28	65.41
